| table_name                         | column_name                | data_type                   | description                                                                                                                                                                                                    | constraint_type | key_name                                                | key_column                | foreign_table                      | foreign_column            |
| dim_ingredient                     | ingredient_uuid            | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_ingredient_pkey1                                    | ingredient_uuid           | dim_ingredient                     | ingredient_uuid           |
| dim_ingredient                     | par_level                  | double precision            |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_ingredient                     | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_ingredient_restaurant_uuid_fkey                     | restaurant_uuid           | dim_restaurant                     | restaurant_uuid           |
| dim_ingredient                     | subcategory_uuid           | uuid                        |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_ingredient                     | tag_uuid                   | uuid                        |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant          | active                     | boolean                     |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant          | actual_stock               | double precision            | Actual stock (what the restaurant has)                                                                                                                                                                         |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant          | cost                       | double precision            | Price the restaurant buys it to its supplier                                                                                                                                                                   |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant          | created_at                 | timestamp without time zone | Time it has been created                                                                                                                                                                                       |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant          | image_url                  | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant          | ingredient_uuid            | uuid                        | UUID of the ingredient                                                                                                                                                                                         | PRIMARY KEY     | dim_ingredient_pkey                                     | ingredient_uuid           | dim_ingredient_restaurant          | ingredient_uuid           |
| dim_ingredient_restaurant          | name                       | character varying           | Name of the ingredient (from restaurant)                                                                                                                                                                       |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant          | par_level                  | double precision            | Minimum stock restaurant should have                                                                                                                                                                           |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant          | restaurant_uuid            | uuid                        | UUID of the restaurant                                                                                                                                                                                         | FOREIGN KEY     | public_dim_ingredient_restaurant_restaurant_uuid_fkey   | restaurant_uuid           | dim_restaurant                     | restaurant_uuid           |
| dim_ingredient_restaurant          | supplier                   | character varying           | Name of the supplier                                                                                                                                                                                           |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant          | supplier_uuid              | uuid                        | UUID of the supplier                                                                                                                                                                                           | FOREIGN KEY     | public_dim_ingredient_restaurant_supplier_uuid_fkey     | supplier_uuid             | dim_supplier                       | supplier_uuid             |
| dim_ingredient_restaurant          | theoritical_stock          | double precision            |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant          | unit                       | character varying           | Unit used to measure quantity                                                                                                                                                                                  |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant          | unit_uuid                  | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_ingredient_restaurant_unit_uuid_fkey                | unit_uuid                 | dim_unit                           | unit_uuid                 |
| dim_ingredient_restaurant          | unit_uuid                  | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_ingredient_restaurant_unit_uuid_fkey1               | unit_uuid                 | dim_unit                           | unit_uuid                 |
| dim_ingredient_restaurant          | volume_quantity            | double precision            |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant          | volume_unit_uuid           | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_ingredient_restaurant_volume_unit_uuid_fkey         | volume_unit_uuid          | dim_unit                           | unit_uuid                 |
| dim_ingredient_restaurant_supplier | cost                       | double precision            |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant_supplier | created_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant_supplier | created_at_utc             | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant_supplier | ingredient_uuid            | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_ingredient_restaurant_supplier_ingredient_uuid_fkey | ingredient_uuid           | dim_ingredient_restaurant          | ingredient_uuid           |
| dim_ingredient_restaurant_supplier | ingredient_uuid            | uuid                        |                                                                                                                                                                                                                | UNIQUE          | ingredient_restaurant_supplier_unique                   | ingredient_uuid           | dim_ingredient_restaurant_supplier | ingredient_uuid           |
| dim_ingredient_restaurant_supplier | ingredient_uuid            | uuid                        |                                                                                                                                                                                                                | UNIQUE          | ingredient_restaurant_supplier_unique                   | ingredient_uuid           | dim_ingredient_restaurant_supplier | supplier_uuid             |
| dim_ingredient_restaurant_supplier | ingredient_uuid            | uuid                        |                                                                                                                                                                                                                | UNIQUE          | ingredient_restaurant_supplier_unique                   | ingredient_uuid           | dim_ingredient_restaurant_supplier | unit_uuid                 |
| dim_ingredient_restaurant_supplier | ingredient_uuid            | uuid                        |                                                                                                                                                                                                                | UNIQUE          | ingredient_restaurant_supplier_unique                   | ingredient_uuid           | dim_ingredient_restaurant_supplier | restaurant_uuid           |
| dim_ingredient_restaurant_supplier | ingredient_uuid            | uuid                        |                                                                                                                                                                                                                | UNIQUE          | idx_dim_ingredient_restaurant_supplier_unique           | ingredient_uuid           | dim_ingredient_restaurant_supplier | ingredient_uuid           |
| dim_ingredient_restaurant_supplier | ingredient_uuid            | uuid                        |                                                                                                                                                                                                                | UNIQUE          | idx_dim_ingredient_restaurant_supplier_unique           | ingredient_uuid           | dim_ingredient_restaurant_supplier | supplier_uuid             |
| dim_ingredient_restaurant_supplier | ingredient_uuid            | uuid                        |                                                                                                                                                                                                                | UNIQUE          | idx_dim_ingredient_restaurant_supplier_unique           | ingredient_uuid           | dim_ingredient_restaurant_supplier | unit_uuid                 |
| dim_ingredient_restaurant_supplier | ingredient_uuid            | uuid                        |                                                                                                                                                                                                                | UNIQUE          | idx_dim_ingredient_restaurant_supplier_unique           | ingredient_uuid           | dim_ingredient_restaurant_supplier | restaurant_uuid           |
| dim_ingredient_restaurant_supplier | is_default                 | boolean                     |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant_supplier | product_code               | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_ingredient_restaurant_supplier | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | UNIQUE          | ingredient_restaurant_supplier_unique                   | restaurant_uuid           | dim_ingredient_restaurant_supplier | ingredient_uuid           |
