| table_name                         | column_name                | data_type                   | description                                                                                                                                                                                                    | constraint_type | key_name                                                | key_column                | foreign_table                      | foreign_column            |
| dim_invoice                        | invoice_number             | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice                        | invoice_uuid               | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_invoice_pkey                                        | invoice_uuid              | dim_invoice                        | invoice_uuid              |
| dim_invoice                        | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_invoice_restaurant_uuid_fkey                        | restaurant_uuid           | dim_restaurant                     | restaurant_uuid           |
| dim_invoice                        | supplier_uuid              | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_invoice_supplier_uuid_fkey                          | supplier_uuid             | dim_supplier                       | supplier_uuid             |
| dim_invoice                        | updated_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice                        | updated_at_utc             | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice                        | vat                        | double precision            |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_document               | created_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_document               | created_at_utc             | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_document               | document_uuid              | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_invoice_document_document_uuid_fkey                 | document_uuid             | dim_document                       | document_uuid             |
| dim_invoice_document               | invoice_uuid               | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_invoice_document_invoice_uuid_fkey                  | invoice_uuid              | dim_invoice                        | invoice_uuid              |
| dim_invoice_document               | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_invoice_document_restaurant_uuid_fkey               | restaurant_uuid           | dim_restaurant                     | restaurant_uuid           |
| dim_invoice_document               | updated_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_document               | updated_at_utc             | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_document               | uuid                       | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_invoice_document_pkey                               | uuid                      | dim_invoice_document               | uuid                      |
| dim_invoice_ingredients            | checked                    | boolean                     |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_ingredients            | cost                       | double precision            |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_ingredients            | created_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_ingredients            | created_ingredient         | boolean                     |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_ingredients            | document_uuid              | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | public_dim_invoice_ingredients_document_uuid_fkey       | document_uuid             | dim_invoices                       | document_uuid             |
| dim_invoice_ingredients            | given_name                 | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_ingredients            | item_uuid                  | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_invoice_ingredients_pkey                            | item_uuid                 | dim_invoice_ingredients            | item_uuid                 |
| dim_invoice_ingredients            | mapping_name               | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_ingredients            | mapping_uuid               | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | public_dim_invoice_ingredients_mapping_uuid_fkey        | mapping_uuid              | dim_ingredient_restaurant          | ingredient_uuid           |
| dim_invoice_ingredients            | quantity                   | double precision            |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_ingredients            | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | public_dim_invoice_ingredients_restaurant_uuid_fkey     | restaurant_uuid           | dim_restaurant                     | restaurant_uuid           |
| dim_invoice_ingredients            | supplier_uuid              | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | public_dim_invoice_ingredients_supplier_uuid_fkey       | supplier_uuid             | dim_supplier                       | supplier_uuid             |
| dim_invoice_ingredients            | total_cost                 | double precision            |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_ingredients            | unit                       | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_ingredients            | unit_cost                  | double precision            |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_ingredients            | unit_uuid                  | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_invoice_ingredients_unit_uuid_fkey                  | unit_uuid                 | dim_unit                           | unit_uuid                 |
| dim_invoice_ingredients            | updated_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_sync                   | document_uuid              | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_invoice_sync_document_uuid_fkey                     | document_uuid             | dim_invoices                       | document_uuid             |
| dim_invoice_sync                   | invoice_id                 | uuid                        |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_sync                   | status                     | USER-DEFINED                |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoice_sync                   | sync_id                    | integer                     |                                                                                                                                                                                                                | PRIMARY KEY     | dim_invoice_sync_pkey                                   | sync_id                   | dim_invoice_sync                   | sync_id                   |
| dim_invoice_sync                   | synced_at                  | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoices                       | amount                     | double precision            | Amount paid                                                                                                                                                                                                    |                 |                                                         |                           |                                    |                           |
| dim_invoices                       | created_at                 | timestamp without time zone | Time it has been uploaded                                                                                                                                                                                      |                 |                                                         |                           |                                    |                           |
| dim_invoices                       | created_supplier           | boolean                     |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoices                       | date                       | character varying           | Date of the invoice                                                                                                                                                                                            |                 |                                                         |                           |                                    |                           |
| dim_invoices                       | document_uuid              | uuid                        | UUID of the document                                                                                                                                                                                           | PRIMARY KEY     | dim_invoices_pkey                                       | document_uuid             | dim_invoices                       | document_uuid             |
| dim_invoices                       | files                      | json                        |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_invoices                       | path                       | character varying           | URL where the invoice image is stored                                                                                                                                                                          |                 |                                                         |                           |                                    |                           |
| dim_invoices                       | restaurant_uuid            | uuid                        | UUID of the restaurant                                                                                                                                                                                         | FOREIGN KEY     | public_dim_invoices_restaurant_uuid_fkey                | restaurant_uuid           | dim_restaurant                     | restaurant_uuid           |
| dim_invoices                       | supplier_name              | character varying           | Name of the supplier on the invoice                                                                                                                                                                            |                 |                                                         |                           |                                    |                           |
| dim_invoices                       | supplier_uuid              | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | public_dim_invoices_supplier_uuid_fkey                  | supplier_uuid             | dim_supplier                       | supplier_uuid             |
| dim_modifier                       | active                     | boolean                     |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_modifier                       | created_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_modifier                       | currency                   | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_modifier                       | item_id                    | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_modifier                       | modifier_group_uuid        | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_modifier_modifier_group_uuid_fkey                   | modifier_group_uuid       | dim_modifier_group                 | group_uuid                |
| dim_modifier                       | modifier_id                | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_modifier                       | modifier_name              | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_modifier                       | modifier_uuid              | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_modifier_pkey                                       | modifier_uuid             | dim_modifier                       | modifier_uuid             |
| dim_modifier                       | portion_count              | double precision            |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_modifier                       | price                      | double precision            |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_modifier                       | product_uuid               | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_modifier_product_uuid_fkey                          | product_uuid              | dim_recipe                         | recipe_uuid               |
| dim_modifier                       | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | public_dim_modifier_restaurant_uuid_fkey                | restaurant_uuid           | dim_restaurant                     | restaurant_uuid           |
| dim_modifier_group                 | created_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_modifier_group                 | group_name                 | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_modifier_group                 | group_uuid                 | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_modifier_group_pkey                                 | group_uuid                | dim_modifier_group                 | group_uuid                |
| dim_modifier_group                 | master_id                  | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_modifier_group                 | multi_location_id          | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_modifier_ingredient            | created_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_modifier_ingredient            | ingredient_uuid            | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | public_dim_modifier_ingredient_ingredient_uuid_fkey     | ingredient_uuid           | dim_ingredient_restaurant          | ingredient_uuid           |
| dim_modifier_ingredient            | ingredient_uuid            | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_modifier_ingredient_pkey                            | ingredient_uuid           | dim_modifier_ingredient            | modifier_uuid             |
| dim_modifier_ingredient            | ingredient_uuid            | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_modifier_ingredient_pkey                            | ingredient_uuid           | dim_modifier_ingredient            | ingredient_uuid           |
| dim_modifier_ingredient            | modifier_uuid              | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | public_dim_modifier_ingredient_modifier_uuid_fkey       | modifier_uuid             | dim_modifier                       | modifier_uuid             |
| dim_modifier_ingredient            | modifier_uuid              | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_modifier_ingredient_pkey                            | modifier_uuid             | dim_modifier_ingredient            | modifier_uuid             |
| dim_modifier_ingredient            | modifier_uuid              | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_modifier_ingredient_pkey                            | modifier_uuid             | dim_modifier_ingredient            | ingredient_uuid           |
| dim_modifier_ingredient            | quantity                   | double precision            |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_modifier_ingredient            | restaurant_uuid            | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | public_dim_modifier_ingredient_restaurant_uuid_fkey     | restaurant_uuid           | dim_restaurant                     | restaurant_uuid           |
| dim_modifier_ingredient            | unit_uuid                  | uuid                        |                                                                                                                                                                                                                | FOREIGN KEY     | dim_modifier_ingredient_unit_uuid_fkey                  | unit_uuid                 | dim_unit                           | unit_uuid                 |
| dim_openai_assistant               | assistant_id               | character varying           | ID of the assistant (from OpenAI)                                                                                                                                                                              | PRIMARY KEY     | dim_openai_assistant_pkey                               | assistant_id              | dim_openai_assistant               | assistant_id              |
| dim_openai_assistant               | created_at                 | timestamp without time zone | Time of creation                                                                                                                                                                                               |                 |                                                         |                           |                                    |                           |
| dim_openai_assistant               | restaurant_uuid            | uuid                        | UUID of the restaurant associated to (if one)                                                                                                                                                                  | FOREIGN KEY     | public_dim_openai_assistant_restaurant_uuid_fkey        | restaurant_uuid           | dim_restaurant                     | restaurant_uuid           |
| dim_openai_assistant               | supplier_uuid              | uuid                        | UUID of the supplier associated to (if one)                                                                                                                                                                    | FOREIGN KEY     | public_dim_openai_assistant_supplier_uuid_fkey          | supplier_uuid             | dim_supplier                       | supplier_uuid             |
| dim_openai_thread                  | created_at                 | timestamp without time zone | Time of creation                                                                                                                                                                                               |                 |                                                         |                           |                                    |                           |
| dim_openai_thread                  | restaurant_uuid            | uuid                        | UUID of the restaurant associated to (if one)                                                                                                                                                                  | FOREIGN KEY     | public_dim_openai_thread_restaurant_uuid_fkey           | restaurant_uuid           | dim_restaurant                     | restaurant_uuid           |
| dim_openai_thread                  | run_id                     | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_openai_thread                  | status                     | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_openai_thread                  | supplier_uuid              | uuid                        | UUID of the supplier associated to (if one)                                                                                                                                                                    | FOREIGN KEY     | public_dim_openai_thread_supplier_uuid_fkey             | supplier_uuid             | dim_supplier                       | supplier_uuid             |
| dim_openai_thread                  | thread_id                  | character varying           | ID of the thread (from OpenAI)                                                                                                                                                                                 | PRIMARY KEY     | dim_openai_thread_pkey                                  | thread_id                 | dim_openai_thread                  | thread_id                 |
| dim_openai_thread                  | uuid                       | uuid                        |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_openai_tool_calling            | assistant_response         | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_openai_tool_calling            | created_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_openai_tool_calling            | prompt                     | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_openai_tool_calling            | tools                      | json                        |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_openai_tool_calling            | uuid                       | uuid                        |                                                                                                                                                                                                                | PRIMARY KEY     | dim_openai_tool_calling_pkey                            | uuid                      | dim_openai_tool_calling            | uuid                      |
| dim_order                          | created_at                 | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_order                          | created_at_utc             | timestamp without time zone |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_order                          | date                       | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_order                          | gross                      | double precision            |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
| dim_order                          | integration_order_id       | character varying           |                                                                                                                                                                                                                |                 |                                                         |                           |                                    |                           |
